Sl No,User Type,Power Transmit (dB),Distance (m),Pass Loss Exponent,Shadowing Effect,Power Received (dB),Label
1,PUE,24,145,3.3972445017086255,0,16.657304438238278,PUE
2,PUE,15,289,2.184128086943099,5,4.625083902537742,PUE
3,PUE,22,239,3.1191529991681977,8,6.581413054042271,PUE
4,PUE,22,244,2.261294212401854,9,7.601409202953164,PUE
5,PUE,23,199,2.489133680617906,2,15.277847380716508,PUE
6,PUE,15,124,3.317406535681555,8,0.05526921970530552,PUE
7,PUE,20,132,3.2433056723745572,1,12.122330540230452,PUE
8,PUE,20,106,2.953749880415941,3,11.017753042668481,PUE
9,PUE,17,252,3.3351373309405563,5,3.9909994098986328,PUE
10,PUE,20,245,3.9617086639236656,5,5.534820024020451,PUE
11,PUE,22,118,2.303489234164365,0,17.227442101711485,PUE
12,PUE,24,186,3.9442417745214566,6,9.04849223759851,PUE
13,PUE,15,259,2.1631341853133517,0,9.779708780907196,PUE
14,PUE,22,269,3.3655558627199227,4,9.822532969080797,PUE
15,PUE,20,104,2.5969994273983037,0,14.76176557279778,PUE
16,PUE,19,145,3.1982139774131637,5,7.087482644918538,PUE
17,PUE,19,190,3.748074076070356,4,6.459062702516729,PUE
18,PUE,20,295,3.1078902187467072,4,8.324064314496194,PUE
19,PUE,24,246,2.814264415546088,8,9.271276408199085,PUE
20,PUE,19,157,2.8656455530199665,6,6.7073299261953885,PUE
21,PUE,22,138,3.533930185730518,4,10.437816702753228,PUE
22,PUE,19,113,3.4216243254541725,8,3.97513685571154,PUE
23,PUE,21,150,3.288595659976373,2,11.843715729756966,PUE
24,PUE,15,114,3.141330646473205,2,6.538581753617326,PUE
25,PUE,20,166,3.30892910814142,7,5.653819724264068,PUE
26,PUE,16,239,3.3931045968406215,6,1.9298471491767888,PUE
27,PUE,22,216,2.0572982085243385,5,12.19733247987427,PUE
28,PUE,16,217,3.2898731627763933,1,7.313343825704049,PUE
29,PUE,18,102,3.1517376885311634,8,3.669419137467795,PUE
30,PUE,20,107,2.9830849034980718,2,11.946175889383364,PUE
31,PUE,19,160,3.6668629686544123,4,6.917794057127782,PUE
32,PUE,16,270,2.09494563077528,6,4.906425105449792,PUE
33,PUE,23,164,3.2030726878344287,7,8.90569416250031,PUE
34,PUE,16,137,3.036953567204861,1,8.510878851454358,PUE
35,PUE,16,155,3.320935270422881,5,3.726050209621036,PUE
36,PUE,19,166,2.3403932940620704,9,4.804073918658091,PUE
37,PUE,19,111,2.8484032000112878,4,9.174095482167466,PUE
38,PUE,24,239,2.5749636846350397,4,13.875711777446341,PUE
39,PUE,17,168,2.039516016449227,8,4.461446078366977,PUE
40,PUE,24,289,2.2557309240498276,4,14.448876635166545,PUE
41,PUE,17,205,2.961375294419944,1,9.154029229089574,PUE
42,PUE,18,170,2.594849517352711,8,4.212320692881711,PUE
43,PUE,18,109,3.148257755569844,0,11.585656226454924,PUE
44,PUE,24,253,3.5190813775646097,1,14.543223325886819,PUE
45,PUE,24,242,2.101117578714726,5,13.991323630128239,PUE
46,PUE,17,103,3.109242517332884,7,3.7416009204763547,PUE
47,PUE,17,273,2.2088215241211637,7,4.618951508956389,PUE
48,PUE,19,249,3.3471746686053128,1,9.979502244472561,PUE
49,PUE,15,101,2.243417502325552,9,1.5034703497708257,PUE
50,PUE,15,211,2.961529954557853,8,0.11656788578260979,PUE
51,PUE,20,289,3.126925193695369,6,6.304956536373966,PUE
52,PUE,23,203,2.475835818151335,6,11.287018659092176,PUE
53,PUE,15,183,2.1305996447028632,1,9.179622512062743,PUE
54,PUE,20,180,2.956126050790724,0,13.333130196032062,PUE
55,PUE,23,107,3.299638609620059,4,12.303766933413272,PUE
56,PUE,15,181,2.70174092954548,7,1.9003373885180146,PUE
57,PUE,16,265,2.4633155067002592,1,9.03078086218404,PUE
58,PUE,18,270,3.3884539831099287,8,1.7614357689463294,PUE
59,PUE,17,296,2.9053178297963607,1,8.820112129232509,PUE
60,PUE,23,163,3.2272427295612993,8,7.860733637261699,PUE
61,PUE,22,258,3.0815616760243607,2,12.568445136958573,PUE
62,PUE,19,110,2.40736641412611,7,7.085619811707373,PUE
63,PUE,20,231,2.147278941484333,1,13.924665769737507,PUE
64,PUE,18,276,2.9322834951851355,0,10.842562585412661,PUE
65,PUE,24,215,2.1817532456967434,6,12.911194819691215,PUE
66,PUE,16,206,2.204299565421982,7,3.8995434916961074,PUE
67,PUE,22,139,3.4875517267018603,5,9.526125033026188,PUE
68,PUE,22,250,3.150263975348639,5,9.445855975633277,PUE
69,PUE,17,203,2.522917586169164,2,9.178377665933088,PUE
70,PUE,24,265,3.5512890991950465,4,11.39435334321884,PUE
71,PUE,18,210,2.8257387097849413,4,7.43801504626088,PUE
72,PUE,22,296,3.4171264186112706,1,12.55528380604545,PUE
73,PUE,20,170,2.7229595224188126,4,9.926577870264259,PUE
74,PUE,20,246,2.2262496340616647,7,7.677181592745914,PUE
75,PUE,16,262,3.700721335455274,1,6.05054081565398,PUE
76,PUE,21,222,2.39076587125399,2,13.390419386768126,PUE
77,PUE,15,247,2.1993526117237554,4,5.737615706784883,PUE
78,PUE,23,261,3.3260600975626406,4,10.962108438388608,PUE
79,PUE,15,273,2.1005511223202307,1,8.882715817603916,PUE
80,PUE,16,114,2.0062884051768695,5,6.873255646211582,PUE
81,PUE,18,116,2.245116377673514,9,4.365051557367714,PUE
82,PUE,19,103,3.0151208213450325,9,3.931052573813087,PUE
83,PUE,21,243,2.5744539935852444,1,13.858366401812813,PUE
84,PUE,23,146,2.136619803324079,6,12.375600826949949,PUE
85,PUE,20,139,2.0026535025617216,3,12.708283904229528,PUE
86,PUE,19,294,3.0272229164738516,4,7.5277623955592645,PUE
87,PUE,16,294,2.9717049078422226,3,5.664800123954944,PUE
88,PUE,19,188,3.3869860380977483,7,4.297459116113512,PUE
89,PUE,24,133,3.6040402055333507,0,16.345553295366642,PUE
90,PUE,22,200,2.4727510513278546,1,15.31012565908496,PUE
91,PUE,21,272,3.2122438747869304,6,7.179570950269415,PUE
92,PUE,23,229,3.064903136518219,4,11.767332828509492,PUE
93,PUE,19,128,2.799262044420232,9,4.101367112340814,PUE
94,PUE,19,275,3.188186307108544,1,10.222952907048157,PUE
95,PUE,18,264,3.980064442327967,1,7.361860317263609,PUE
96,PUE,23,135,3.5194999484585328,5,10.502290411582354,PUE
97,PUE,16,147,2.88261602655398,2,7.752456316226651,PUE
98,PUE,21,227,2.2709240730199847,6,9.649644164242593,PUE
99,PUE,20,109,2.950417581714019,6,7.988741039025962,PUE
100,PUE,16,261,3.437976354532187,4,3.691647078366323,PUE
101,SU,13,114,2.8635981020858936,7,0.10985117154160928,SU
102,SU,19,97,3.794773632069045,2,9.460651009866368,SU
103,SU,13,64,2.1863296581637846,7,2.051095154897535,SU
104,SU,11,109,2.3000599294968653,8,-1.6862030472083562,SU
105,SU,18,93,3.9828588094549087,4,6.159810347090186,SU
106,SU,17,52,2.8165893874779724,8,4.166723193441509,SU
107,SU,12,96,3.082748951218352,2,3.889155435316961,SU
108,SU,18,77,3.9083002496453663,5,5.627027827854722,SU
109,SU,14,85,2.4314037935754813,3,6.308803504621938,SU
110,SU,19,94,3.799430623961439,0,11.503237608042003,SU
111,SU,19,137,3.0292965380422774,4,8.527239783149366,SU
112,SU,11,86,2.4555796708857773,4,2.249684929766274,SU
113,SU,18,89,2.623427315606249,4,8.88591700779789,SU
114,SU,12,63,2.9200969902675284,5,1.7457510770742752,SU
115,SU,15,65,2.1664058487299442,9,2.072493900928283,SU
116,SU,14,144,2.7154320706628763,5,3.1391132688487104,SU
117,SU,13,141,3.5184049274284703,5,0.4381768839098674,SU
118,SU,10,73,3.2810535168272974,6,-2.11366202318292,SU
119,SU,12,95,3.850400142648888,8,-3.6150272519242526,SU
120,SU,11,146,2.3520342631437243,2,3.9093679256620355,SU
121,SU,13,61,2.4770680600862667,0,8.577616488975744,SU
122,SU,19,69,2.5434043594551463,5,9.323063206238732,SU
123,SU,10,93,3.920268950527092,8,-5.71698258285801,SU
124,SU,17,141,2.831766435382894,0,10.913913454499088,SU
125,SU,18,80,2.3199996829288816,0,13.584831833593562,SU
126,SU,13,88,3.3951908326699396,9,-2.6018897427698002,SU
127,SU,10,53,2.1016674939687583,0,6.376145454225308,SU
128,SU,14,129,3.067009146965817,3,4.52680205302027,SU
129,SU,16,114,3.6654554835448185,5,3.460506833538787,SU
130,SU,12,102,3.5008487613281396,9,-4.0318054233161975,SU
131,SU,12,75,3.5595041114253534,6,-0.6742882762171742,SU
132,SU,12,120,3.1856126687896245,3,2.3765338818808894,SU
133,SU,14,56,2.5281298573317033,7,2.5803536526958233,SU
134,SU,10,91,2.9606772574629354,3,1.199910703326414,SU
135,SU,13,101,2.967424525603228,4,3.052327598246632,SU
136,SU,13,91,2.1959288964049684,1,7.698084397348687,SU
137,SU,13,100,2.936511342681296,8,-0.8730226853625922,SU
138,SU,16,51,3.0488217841111833,6,4.7939228492140415,SU
139,SU,15,98,2.642072903447457,0,9.739035540774843,SU
140,SU,17,91,2.597158791524003,3,8.912058424973848,SU
141,SU,18,126,3.388773013363572,5,5.882320978641868,SU
142,SU,14,87,3.275319639687134,0,7.647454500346927,SU
143,SU,15,93,3.85798144415288,8,-0.5943706886524298,SU
