,,Detection_Rate,Detection_Rate,Detection_Rate,False_Detection_Rate,False_Detection_Rate,False_Detection_Rate
Algorithm,,Agglomerative,DBSCAN,KMeans,Agglomerative,DBSCAN,KMeans
Case,Scenario_Percent,,,,,,
A,10,0.4,0.4,0.4,0.37777777777777777,0.4666666666666667,0.4222222222222222
A,20,0.4,0.3,0.4,0.4,0.375,0.45
A,30,0.3333333333333333,0.6,0.4666666666666667,0.45714285714285713,0.4,0.4857142857142857
A,40,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.43333333333333335
A,50,0.36,0.44,0.56,0.52,0.32,0.4
B,10,0.4,0.4,0.6,0.35555555555555557,0.2,0.6222222222222222
B,20,0.3,0.0,0.4,0.275,0.0,0.4
B,30,0.3333333333333333,0.0,0.3333333333333333,0.34285714285714286,0.0,0.34285714285714286
B,40,0.2,0.0,0.4,0.13333333333333333,0.0,0.3333333333333333
B,50,0.04,0.0,0.76,0.24,0.0,0.48
C,10,0.4,0.0,0.6,0.5111111111111111,0.0,0.5333333333333333
C,20,0.5,0.0,0.3,0.3,0.0,0.475
C,30,0.26666666666666666,0.0,0.4666666666666667,0.34285714285714286,0.0,0.5142857142857142
C,40,0.4,0.0,0.4,0.3,0.0,0.3333333333333333
C,50,0.32,0.32,0.44,0.28,0.32,0.44
